IFBL;ifbluurhok;Xcoord;Ycoord
B534;b5-34;176012.000000;228180.000000
B535;b5-35;180012.000000;228180.000000
B536;b5-36;184012.000000;228180.000000
B537;b5-37;188012.000000;228180.000000
B538;b5-38;192012.000000;228180.000000
B541;b5-41;164012.000000;224180.000000
B542;b5-42;168012.000000;224180.000000
B543;b5-43;172012.000000;224180.000000
B544;b5-44;176012.000000;224180.000000
B545;b5-45;180012.000000;224180.000000
B546;b5-46;184012.000000;224180.000000
B547;b5-47;188012.000000;224180.000000
B548;b5-48;192012.000000;224180.000000
B551;b5-51;164012.000000;220180.000000
B552;b5-52;168012.000000;220180.000000
B553;b5-53;172012.000000;220180.000000
B554;b5-54;176012.000000;220180.000000
B555;b5-55;180012.000000;220180.000000
B556;b5-56;184012.000000;220180.000000
B557;b5-57;188012.000000;220180.000000
B558;b5-58;192012.000000;220180.000000
B611;b6-11;196012.000000;236180.000000
B612;b6-12;200012.000000;236180.000000
B621;b6-21;196012.000000;232180.000000
B622;b6-22;200012.000000;232180.000000
B631;b6-31;196012.000000;228180.000000
B632;b6-32;200012.000000;228180.000000
B633;b6-33;204012.000000;228180.000000
B641;b6-41;196012.000000;224180.000000
B642;b6-42;200012.000000;224180.000000
B643;b6-43;204012.000000;224180.000000
B644;b6-44;208012.000000;224180.000000
B645;b6-45;212012.000000;224180.000000
B651;b6-51;196012.000000;220180.000000
B652;b6-52;200012.000000;220180.000000
B653;b6-53;204012.000000;220180.000000
B654;b6-54;208012.000000;220180.000000
B655;b6-55;212012.000000;220180.000000
B657;b6-57;220012.000000;220180.000000
B658;b6-58;224012.000000;220180.000000
B751;b7-51;228012.000000;220180.000000
B752;b7-52;232012.000000;220180.000000
C047;c0-47;28012.000000;204180.000000
C048;c0-48;32012.000000;204180.000000
C056;c0-56;24012.000000;200180.000000
C057;c0-57;28012.000000;200180.000000
C058;c0-58;32012.000000;200180.000000
C114;c1-14;48012.000000;216180.000000
C115;c1-15;52012.000000;216180.000000
C116;c1-16;56012.000000;216180.000000
C117;c1-17;60012.000000;216180.000000
C118;c1-18;64012.000000;216180.000000
C122;c1-22;40012.000000;212180.000000
C123;c1-23;44012.000000;212180.000000
C124;c1-24;48012.000000;212180.000000
C125;c1-25;52012.000000;212180.000000
C126;c1-26;56012.000000;212180.000000
C127;c1-27;60012.000000;212180.000000
C128;c1-28;64012.000000;212180.000000
C131;c1-31;36012.000000;208180.000000
C132;c1-32;40012.000000;208180.000000
C133;c1-33;44012.000000;208180.000000
C134;c1-34;48012.000000;208180.000000
C135;c1-35;52012.000000;208180.000000
C136;c1-36;56012.000000;208180.000000
C137;c1-37;60012.000000;208180.000000
C138;c1-38;64012.000000;208180.000000
C141;c1-41;36012.000000;204180.000000
C142;c1-42;40012.000000;204180.000000
C143;c1-43;44012.000000;204180.000000
C144;c1-44;48012.000000;204180.000000
C145;c1-45;52012.000000;204180.000000
C146;c1-46;56012.000000;204180.000000
C147;c1-47;60012.000000;204180.000000
C148;c1-48;64012.000000;204180.000000
C151;c1-51;36012.000000;200180.000000
C152;c1-52;40012.000000;200180.000000
C153;c1-53;44012.000000;200180.000000
C154;c1-54;48012.000000;200180.000000
C155;c1-55;52012.000000;200180.000000
C156;c1-56;56012.000000;200180.000000
C157;c1-57;60012.000000;200180.000000
C158;c1-58;64012.000000;200180.000000
C211;c2-11;68012.000000;216180.000000
C212;c2-12;72012.000000;216180.000000
C213;c2-13;76012.000000;216180.000000
C214;c2-14;80012.000000;216180.000000
C215;c2-15;84012.000000;216180.000000
C216;c2-16;88012.000000;216180.000000
C217;c2-17;92012.000000;216180.000000
C218;c2-18;96012.000000;216180.000000
C221;c2-21;68012.000000;212180.000000
C222;c2-22;72012.000000;212180.000000
C223;c2-23;76012.000000;212180.000000
C224;c2-24;80012.000000;212180.000000
