IFBL;ifbluurhok;Xcoord;Ycoord
E118;e1-18;64012.000000;176180.000000
E121;e1-21;36012.000000;172180.000000
E122;e1-22;40012.000000;172180.000000
E123;e1-23;44012.000000;172180.000000
E124;e1-24;48012.000000;172180.000000
E125;e1-25;52012.000000;172180.000000
E126;e1-26;56012.000000;172180.000000
E127;e1-27;60012.000000;172180.000000
E128;e1-28;64012.000000;172180.000000
E131;e1-31;36012.000000;168180.000000
E132;e1-32;40012.000000;168180.000000
E133;e1-33;44012.000000;168180.000000
E134;e1-34;48012.000000;168180.000000
E135;e1-35;52012.000000;168180.000000
E136;e1-36;56012.000000;168180.000000
E137;e1-37;60012.000000;168180.000000
E138;e1-38;64012.000000;168180.000000
E141;e1-41;36012.000000;164180.000000
E142;e1-42;40012.000000;164180.000000
E143;e1-43;44012.000000;164180.000000
E144;e1-44;48012.000000;164180.000000
E145;e1-45;52012.000000;164180.000000
E146;e1-46;56012.000000;164180.000000
E147;e1-47;60012.000000;164180.000000
E148;e1-48;64012.000000;164180.000000
E151;e1-51;36012.000000;160180.000000
E152;e1-52;40012.000000;160180.000000
E153;e1-53;44012.000000;160180.000000
E154;e1-54;48012.000000;160180.000000
E158;e1-58;64012.000000;160180.000000
E211;e2-11;68012.000000;176180.000000
E212;e2-12;72012.000000;176180.000000
E213;e2-13;76012.000000;176180.000000
E214;e2-14;80012.000000;176180.000000
E215;e2-15;84012.000000;176180.000000
E216;e2-16;88012.000000;176180.000000
E217;e2-17;92012.000000;176180.000000
E218;e2-18;96012.000000;176180.000000
E221;e2-21;68012.000000;172180.000000
E222;e2-22;72012.000000;172180.000000
E223;e2-23;76012.000000;172180.000000
E224;e2-24;80012.000000;172180.000000
E225;e2-25;84012.000000;172180.000000
E226;e2-26;88012.000000;172180.000000
E227;e2-27;92012.000000;172180.000000
E228;e2-28;96012.000000;172180.000000
E231;e2-31;68012.000000;168180.000000
E232;e2-32;72012.000000;168180.000000
E233;e2-33;76012.000000;168180.000000
E234;e2-34;80012.000000;168180.000000
E235;e2-35;84012.000000;168180.000000
E236;e2-36;88012.000000;168180.000000
E237;e2-37;92012.000000;168180.000000
E238;e2-38;96012.000000;168180.000000
E241;e2-41;68012.000000;164180.000000
E242;e2-42;72012.000000;164180.000000
E243;e2-43;76012.000000;164180.000000
E244;e2-44;80012.000000;164180.000000
E245;e2-45;84012.000000;164180.000000
E246;e2-46;88012.000000;164180.000000
E247;e2-47;92012.000000;164180.000000
E248;e2-48;96012.000000;164180.000000
E251;e2-51;68012.000000;160180.000000
E252;e2-52;72012.000000;160180.000000
E253;e2-53;76012.000000;160180.000000
E254;e2-54;80012.000000;160180.000000
E255;e2-55;84012.000000;160180.000000
E256;e2-56;88012.000000;160180.000000
E257;e2-57;92012.000000;160180.000000
E258;e2-58;96012.000000;160180.000000
E311;e3-11;100012.000000;176180.000000
E312;e3-12;104012.000000;176180.000000
E313;e3-13;108012.000000;176180.000000
E314;e3-14;112012.000000;176180.000000
E315;e3-15;116012.000000;176180.000000
E316;e3-16;120012.000000;176180.000000
E317;e3-17;124012.000000;176180.000000
E318;e3-18;128012.000000;176180.000000
E321;e3-21;100012.000000;172180.000000
E322;e3-22;104012.000000;172180.000000
E323;e3-23;108012.000000;172180.000000
E324;e3-24;112012.000000;172180.000000
E325;e3-25;116012.000000;172180.000000
E326;e3-26;120012.000000;172180.000000
E327;e3-27;124012.000000;172180.000000
E328;e3-28;128012.000000;172180.000000
E331;e3-31;100012.000000;168180.000000
E332;e3-32;104012.000000;168180.000000
E333;e3-33;108012.000000;168180.000000
E334;e3-34;112012.000000;168180.000000
E335;e3-35;116012.000000;168180.000000
E336;e3-36;120012.000000;168180.000000
E337;e3-37;124012.000000;168180.000000
E338;e3-38;128012.000000;168180.000000
E341;e3-41;100012.000000;164180.000000
E342;e3-42;104012.000000;164180.000000
E343;e3-43;108012.000000;164180.000000
E344;e3-44;112012.000000;164180.000000
E345;e3-45;116012.000000;164180.000000
E346;e3-46;120012.000000;164180.000000
E347;e3-47;124012.000000;164180.000000
E348;e3-48;128012.000000;164180.000000
E351;e3-51;100012.000000;160180.000000
E352;e3-52;104012.000000;160180.000000
E353;e3-53;108012.000000;160180.000000
E354;e3-54;112012.000000;160180.000000
E355;e3-55;116012.000000;160180.000000
E356;e3-56;120012.000000;160180.000000
E357;e3-57;124012.000000;160180.000000
E358;e3-58;128012.000000;160180.000000
E411;e4-11;132012.000000;176180.000000
E412;e4-12;136012.000000;176180.000000
E413;e4-13;140012.000000;176180.000000
E414;e4-14;144012.000000;176180.000000
E415;e4-15;148012.000000;176180.000000
E416;e4-16;152012.000000;176180.000000
E417;e4-17;156012.000000;176180.000000
E418;e4-18;160012.000000;176180.000000
E421;e4-21;132012.000000;172180.000000
E422;e4-22;136012.000000;172180.000000
E423;e4-23;140012.000000;172180.000000
E424;e4-24;144012.000000;172180.000000
E425;e4-25;148012.000000;172180.000000
E426;e4-26;152012.000000;172180.000000
E427;e4-27;156012.000000;172180.000000
E428;e4-28;160012.000000;172180.000000
E431;e4-31;132012.000000;168180.000000
E432;e4-32;136012.000000;168180.000000
E433;e4-33;140012.000000;168180.000000
E434;e4-34;144012.000000;168180.000000
E435;e4-35;148012.000000;168180.000000
E436;e4-36;152012.000000;168180.000000
E437;e4-37;156012.000000;168180.000000
E438;e4-38;160012.000000;168180.000000
E441;e4-41;132012.000000;164180.000000
E442;e4-42;136012.000000;164180.000000
E443;e4-43;140012.000000;164180.000000
E444;e4-44;144012.000000;164180.000000
E445;e4-45;148012.000000;164180.000000
E446;e4-46;152012.000000;164180.000000
E447;e4-47;156012.000000;164180.000000
E448;e4-48;160012.000000;164180.000000
E451;e4-51;132012.000000;160180.000000
E452;e4-52;136012.000000;160180.000000
E453;e4-53;140012.000000;160180.000000
E454;e4-54;144012.000000;160180.000000
E455;e4-55;148012.000000;160180.000000
E456;e4-56;152012.000000;160180.000000
E457;e4-57;156012.000000;160180.000000
E458;e4-58;160012.000000;160180.000000
E511;e5-11;164012.000000;176180.000000
E512;e5-12;168012.000000;176180.000000
E513;e5-13;172012.000000;176180.000000
E514;e5-14;176012.000000;176180.000000
E515;e5-15;180012.000000;176180.000000
E516;e5-16;184012.000000;176180.000000
E517;e5-17;188012.000000;176180.000000
E518;e5-18;192012.000000;176180.000000
E521;e5-21;164012.000000;172180.000000
E522;e5-22;168012.000000;172180.000000
E523;e5-23;172012.000000;172180.000000
E524;e5-24;176012.000000;172180.000000
E525;e5-25;180012.000000;172180.000000
E526;e5-26;184012.000000;172180.000000
E527;e5-27;188012.000000;172180.000000
E528;e5-28;192012.000000;172180.000000
E531;e5-31;164012.000000;168180.000000
E532;e5-32;168012.000000;168180.000000
E533;e5-33;172012.000000;168180.000000
E534;e5-34;176012.000000;168180.000000
E535;e5-35;180012.000000;168180.000000
E536;e5-36;184012.000000;168180.000000
E537;e5-37;188012.000000;168180.000000
E538;e5-38;192012.000000;168180.000000
E541;e5-41;164012.000000;164180.000000
E542;e5-42;168012.000000;164180.000000
E543;e5-43;172012.000000;164180.000000
E544;e5-44;176012.000000;164180.000000
E545;e5-45;180012.000000;164180.000000
E546;e5-46;184012.000000;164180.000000
E547;e5-47;188012.000000;164180.000000
E548;e5-48;192012.000000;164180.000000
E551;e5-51;164012.000000;160180.000000
E552;e5-52;168012.000000;160180.000000
E553;e5-53;172012.000000;160180.000000
E556;e5-56;184012.000000;160180.000000
E557;e5-57;188012.000000;160180.000000
E558;e5-58;192012.000000;160180.000000
E611;e6-11;196012.000000;176180.000000
E612;e6-12;200012.000000;176180.000000
E613;e6-13;204012.000000;176180.000000
E614;e6-14;208012.000000;176180.000000
E615;e6-15;212012.000000;176180.000000
E616;e6-16;216012.000000;176180.000000
E617;e6-17;220012.000000;176180.000000
E618;e6-18;224012.000000;176180.000000
E621;e6-21;196012.000000;172180.000000
E622;e6-22;200012.000000;172180.000000
E623;e6-23;204012.000000;172180.000000
E624;e6-24;208012.000000;172180.000000
E625;e6-25;212012.000000;172180.000000
E626;e6-26;216012.000000;172180.000000
E627;e6-27;220012.000000;172180.000000
E628;e6-28;224012.000000;172180.000000
E631;e6-31;196012.000000;168180.000000
E632;e6-32;200012.000000;168180.000000
E633;e6-33;204012.000000;168180.000000
E634;e6-34;208012.000000;168180.000000
E635;e6-35;212012.000000;168180.000000
E636;e6-36;216012.000000;168180.000000
E637;e6-37;220012.000000;168180.000000
E638;e6-38;224012.000000;168180.000000
E641;e6-41;196012.000000;164180.000000
E642;e6-42;200012.000000;164180.000000
E643;e6-43;204012.000000;164180.000000
E644;e6-44;208012.000000;164180.000000
E645;e6-45;212012.000000;164180.000000
E646;e6-46;216012.000000;164180.000000
E647;e6-47;220012.000000;164180.000000
E648;e6-48;224012.000000;164180.000000
E651;e6-51;196012.000000;160180.000000
E652;e6-52;200012.000000;160180.000000
E653;e6-53;204012.000000;160180.000000
E654;e6-54;208012.000000;160180.000000
E655;e6-55;212012.000000;160180.000000
E656;e6-56;216012.000000;160180.000000
E657;e6-57;220012.000000;160180.000000
E658;e6-58;224012.000000;160180.000000
E711;e7-11;228012.000000;176180.000000
E712;e7-12;232012.000000;176180.000000
E713;e7-13;236012.000000;176180.000000
E714;e7-14;240012.000000;176180.000000
E715;e7-15;244012.000000;176180.000000
E721;e7-21;228012.000000;172180.000000
E722;e7-22;232012.000000;172180.000000
E723;e7-23;236012.000000;172180.000000
E724;e7-24;240012.000000;172180.000000
E731;e7-31;228012.000000;168180.000000
E732;e7-32;232012.000000;168180.000000
E733;e7-33;236012.000000;168180.000000
E734;e7-34;240012.000000;168180.000000
E735;e7-35;244012.000000;168180.000000
E741;e7-41;228012.000000;164180.000000
E742;e7-42;232012.000000;164180.000000
E743;e7-43;236012.000000;164180.000000
E744;e7-44;240012.000000;164180.000000
E745;e7-45;244012.000000;164180.000000
E746;e7-46;248012.000000;164180.000000
E747;e7-47;252012.000000;164180.000000
E748;e7-48;256012.000000;164180.000000
E751;e7-51;228012.000000;160180.000000
E752;e7-52;232012.000000;160180.000000
E753;e7-53;236012.000000;160180.000000
E755;e7-55;244012.000000;160180.000000
E756;e7-56;248012.000000;160180.000000
E757;e7-57;252012.000000;160180.000000
E758;e7-58;256012.000000;160180.000000
E851;e8-51;260012.000000;160180.000000
F112;f1-12;40012.000000;156180.000000
F113;f1-13;44012.000000;156180.000000
F213;f2-13;76012.000000;156180.000000
F214;f2-14;80012.000000;156180.000000
F217;f2-17;92012.000000;156180.000000
F218;f2-18;96012.000000;156180.000000
F311;f3-11;100012.000000;156180.000000
F315;f3-15;116012.000000;156180.000000
F316;f3-16;120012.000000;156180.000000
F317;f3-17;124012.000000;156180.000000
F318;f3-18;128012.000000;156180.000000
F325;f3-25;116012.000000;152180.000000
F326;f3-26;120012.000000;152180.000000
F327;f3-27;124012.000000;152180.000000
F328;f3-28;128012.000000;152180.000000
F411;f4-11;132012.000000;156180.000000
F412;f4-12;136012.000000;156180.000000
F413;f4-13;140012.000000;156180.000000
F414;f4-14;144012.000000;156180.000000
F415;f4-15;148012.000000;156180.000000
F416;f4-16;152012.000000;156180.000000
F418;f4-18;160012.000000;156180.000000
F423;f4-23;140012.000000;152180.000000
F424;f4-24;144012.000000;152180.000000
F611;f6-11;196012.000000;156180.000000
F612;f6-12;200012.000000;156180.000000
F613;f6-13;204012.000000;156180.000000
F614;f6-14;208012.000000;156180.000000
F615;f6-15;212012.000000;156180.000000
F616;f6-16;216012.000000;156180.000000
F618;f6-18;224012.000000;156180.000000
F623;f6-23;204012.000000;152180.000000
F711;f7-11;228012.000000;156180.000000
F717;f7-17;252012.000000;156180.000000
F718;f7-18;256012.000000;156180.000000
