IFBL;IFBLuurhok;Xcoord;Ycoord;REGIO;DISTRICT;area;max
C311;c3-11;100012.000000;216180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;8226619.575512;y
C312;c3-12;104012.000000;216180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;10052698.277199;y
C313;c3-13;108012.000000;216180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;11527942.493311;y
C411;c4-11;132012.000000;216180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;10381277.826801;y
C412;c4-12;136012.000000;216180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;10385046.050128;y
C413;c4-13;140012.000000;216180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;15964816.391609;y
C414;c4-14;144012.000000;216180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;15999999.835363;y
C415;c4-15;148012.000000;216180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;15999999.835363;y
C416;c4-16;152012.000000;216180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;15999999.835363;y
B257;b2-57;92012.000000;220180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;7024299.327500;y
B258;b2-58;96012.000000;220180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;11580319.184513;y
B351;b3-51;100012.000000;220180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;7692859.393191;y
B352;b3-52;104012.000000;220180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;1366322.047909;y
B451;b4-51;132012.000000;220180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;536444.807311;y
B452;b4-52;136012.000000;220180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;10124192.336905;y
B453;b4-53;140012.000000;220180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;15999999.835363;y
B454;b4-54;144012.000000;220180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;15999999.835363;y
B455;b4-55;148012.000000;220180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;15999999.835363;y
B456;b4-56;152012.000000;220180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;11591183.024201;y
B442;b4-42;136012.000000;224180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;324166.698104;y
B443;b4-43;140012.000000;224180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;12299956.763005;y
B444;b4-44;144012.000000;224180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;15653281.426743;y
B445;b4-45;148012.000000;224180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;12138944.076693;y
B433;b4-33;140012.000000;228180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;6017344.445776;y
B434;b4-34;144012.000000;228180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;13121502.528646;y
F112;f1-12;40012.000000;156180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;1504721.647747;y
F113;f1-13;44012.000000;156180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;1290187.458007;y
F213;f2-13;76012.000000;156180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;2117639.141581;y
F214;f2-14;80012.000000;156180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;2699300.059594;y
E255;e2-55;84012.000000;160180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;4516847.725401;y
E145;e1-45;52012.000000;164180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;681695.301673;y
E146;e1-46;56012.000000;164180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;7938571.776187;y
E147;e1-47;60012.000000;164180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;8237011.140752;y
E148;e1-48;64012.000000;164180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;4495676.754797;y
